,country,year,emissions,total_emissions
0,Canada,1990,480.3949156620365,480394915.66203654
1,Mexico,1990,315.8527333760895,315852733.37608945
2,US,1990,5275.397531278702,5275397531.278703
3,Argentina,1990,123.90422313328898,123904223.13328898
4,Brazil,1990,217.067921113678,217067921.113678
5,Chile,1990,33.1544170306033,33154417.030603297
6,Colombia,1990,50.6521987807457,50652198.7807457
7,Ecuador,1990,22.232314459445668,22232314.459445667
8,Peru,1990,22.202589598400003,22202589.598400004
9,Trinidad and Tobago,1990,21.724241817483904,21724241.817483902
10,Venezuela,1990,225.42545195082062,225425451.95082062
11,Austria,1990,60.17671000884249,60176710.00884249
12,Belgium,1990,129.32271424394696,129322714.24394695
13,Bulgaria,1990,88.74064604759502,88740646.04759502
14,Croatia,1990,23.89036685619067,23890366.85619067
15,Czech Republic,1990,157.84223723889528,157842237.23889527
16,Denmark,1990,57.72457710598001,57724577.10598001
17,Estonia,1990,41.6088969104583,41608896.9104583
18,France,1990,379.9412410519633,379941241.05196327
19,Germany,1990,1027.6308813606267,1027630881.3606267
20,Greece,1990,87.33380656062114,87333806.56062114
21,Hungary,1990,73.19755732997461,73197557.32997462
22,Ireland,1990,32.04250991321466,32042509.913214657
23,Italy,1990,423.89374536747346,423893745.3674735
24,Lithuania,1990,37.733443568224374,37733443.56822437
25,Netherlands,1990,192.58431898748066,192584318.98748067
26,North Macedonia,1990,11.60131390503085,11601313.90503085
27,Norway,1990,31.00102110334209,31001021.10334209
28,Poland,1990,379.7931717882534,379793171.7882534
29,Romania,1990,189.109405135368,189109405.13536802
30,Slovakia,1990,56.33732728987681,56337327.28987681
31,Slovenia,1990,13.807274120029584,13807274.120029584
32,Spain,1990,227.06879623789845,227068796.23789844
33,Sweden,1990,68.66959426479008,68669594.26479007
34,Turkey,1990,146.85997853089341,146859978.53089342
35,Ukraine,1990,788.1551980366495,788155198.0366495
36,United Kingdom,1990,616.2057794773755,616205779.4773755
37,Azerbaijan,1990,94.03720711017948,94037207.11017948
38,Belarus,1990,95.64029887500126,95640298.87500127
39,Kazakhstan,1990,256.31868439490563,256318684.39490563
40,Russian Federation,1990,2723.407245829739,2723407245.829739
41,Turkmenistan,1990,95.4505645680918,95450564.56809181
42,Uzbekistan,1990,126.95909145625268,126959091.45625268
43,"Iran, Islamic Republic of",1990,289.1790930483117,289179093.0483117
44,Iraq,1990,110.27417261263153,110274172.61263153
45,Israel,1990,35.74437719112147,35744377.191121474
46,Kuwait,1990,33.919798154,33919798.154
47,Oman,1990,19.5266914404,19526691.4404
48,Qatar,1990,15.392514315507933,15392514.315507933
49,Saudi Arabia,1990,268.07536055668515,268075360.55668515
50,United Arab Emirates,1990,99.0940023608,99094002.3608
51,Algeria,1990,120.80740451663877,120807404.51663877
52,Egypt,1990,113.73854617143408,113738546.17143407
53,Morocco,1990,23.1766488224388,23176648.8224388
54,South Africa,1990,350.2886108766688,350288610.8766688
55,Australia,1990,299.32448316148486,299324483.16148484
56,Bangladesh,1990,14.562579105542259,14562579.10554226
57,China,1990,2547.7657180692677,2547765718.0692677
58,China,1990,42.0102728596,42010272.8596
59,India,1990,677.2394071551195,677239407.1551194
60,Indonesia,1990,183.38919744935518,183389197.44935519
61,Japan,1990,1125.7881891224886,1125788189.1224885
62,Malaysia,1990,64.63556315337073,64635563.15337072
63,New Zealand,1990,27.363286359229832,27363286.359229833
64,Pakistan,1990,66.33938071340143,66339380.71340142
65,Philippines,1990,42.79496463716416,42794964.63716416
66,South Korea,1990,252.75160050487943,252751600.50487944
67,Taiwan,1990,129.52305931359575,129523059.31359576
68,Thailand,1990,97.68878927826076,97688789.27826075
69,Vietnam,1990,21.485879930797683,21485879.930797685
70,Canada,1991,463.72571646014256,463725716.46014255
71,Mexico,1991,326.9571006674342,326957100.6674342
72,US,1991,5225.911642280496,5225911642.280497
73,Argentina,1991,126.26925582645718,126269255.82645719
74,Brazil,1991,226.99796016897568,226997960.16897568
